"unique_storm_number","sub_storms","Suspended_Sediment_mg_L","Chloride_mg_L","NO2_NO3_N_mg_L","Ammonium_N_mg_L","TKN_Unfiltered_mg_L","Dissolved_Reactive_Phosphorus_mg_L","TP_Unfiltered_mg_L","Total_Nitrogen_computed_mg_L","Organic_Nitrogen_computed_mg_L","Suspended_Sediment_Load_pounds","Chloride_Load_pounds","NO2_NO3_N_Load_pounds","Ammonium_N_Load_pounds","TKN_Unfiltered_Load_pounds","Dissolved_Reactive_Phosphorus_Load_pounds","TP_Unfiltered_Load_pounds","Total_Nitrogen_load_pounds","Organic_Nitrogen_Load_pounds","sum_runoff","Flag_Suspended_Sediment","Flag_Chloride","Flag_NO2_NO3_N_","Flag_Ammonium_N_","Flag_TKN_Unfiltered","Flag_Dissolved_Reactive_Phosphorus_","Flag_TP_Unfiltered","frozen","comments","site","water_year","sample_start","sample_end","storm_start","storm_end","peak_discharge"
67,"ESW3-41a,ESW3-41b",817.667327714427,17.7889439762023,12.1107585523054,0.15,6.85669310857709,0.903657907783837,2.93926623698562,18.9674516608825,6.70669310857709,889.5643743,19.353116214,13.175651012,0.163189419,7.459598431,0.98311605964,3.19771433,20.635249443,7.296409012,17426.88,"NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","FALSE, FALSE","NA, NA","SW3","WY16","2015-12-13 06:04:59","2015-12-15 11:30:00","2015-12-13 06:04:59","2015-12-15 11:30:00",0.7711
72,"ESW3-44b",40,11,6.4,0.1,1.66,0.357,0.488,8.06,1.56,5.2427736,1.44176274,0.838843776,0.013106934,0.2175751044,0.04679175438,0.06396183792,1.0564188804,0.2044681704,2099.52,"NA","NA","NA","NA","NA","NA","NA","TRUE","NA","SW3","WY16","2016-02-28 10:18:59","2016-02-29 00:02:00","2016-02-28 10:18:59","2016-02-29 01:14:59",0.1196
73,"ESW3-45a,ESW3-45b",112.191347753744,8.52462562396007,5.21580698835275,0.0638602329450915,1.89271214642263,0.169640599001664,0.436698835274542,7.10851913477537,1.82885191347754,36.36877526,2.763405554,1.690794486,0.0207014044,0.6135555376,0.05499194852,0.14156351728,2.3043500236,0.5928541332,5192.64,"NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","TRUE, FALSE","Komiskey, Matthew J.:Frozen Ground from Jan 18 to Mar 7 according to ESW1 and Met station (flat lined data), NA","SW3","WY16","2016-03-07 00:00:00","2016-03-08 02:53:59","2016-03-07 00:00:00","2016-03-08 02:53:59",0.1737
75,"ESW3-46",174,26.3,10.9,0.08,2.45,0.097,0.481,13.35,2.37,10.41758532,1.574612034,0.652595862,0.0047896944,0.146684391,0.00580750446,0.02879803758,0.799280253,0.1418946966,959.04,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-03-09 02:41:00","2016-03-09 14:30:00","2016-03-09 02:32:59","2016-03-09 14:30:00",0.0711
76,"ESW3-47",3320,13.6,6.3,0.06,17,0.522,7.9,23.3,16.94,3348.686792,13.71751216,6.35443578,0.060518436,17.1468902,0.5265103932,7.96826074,23.50132598,17.086371764,16156.8,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-03-16 00:04:59","2016-03-17 01:00:00","2016-03-16 00:04:59","2016-03-17 01:00:00",1.87
77,"ESW3-48a",155,18.8,9.4,0.07,1.76,0.118,0.437,11.16,1.69,38.0397745,4.61385652,2.30692826,0.017179253,0.431935504,0.0289593122,0.1072476223,2.738863764,0.414756251,3931.2,"NA","NA","NA","NA","NA","NA","NA","FALSE","Komiskey, Matthew J.:for some reason, most of these samples were missed","SW3","WY16","2016-03-27 05:30:00","2016-03-28 08:35:59","2016-03-27 05:30:00","2016-03-28 08:35:59",0.2077
79,"ESW3-49a",999,15.8,7,0.07,6.22,0.454,2.7,13.22,6.15,229.54610412,3.630458904,1.60843116,0.0160843116,1.4292059736,0.10431824952,0.620394876,3.0376371336,1.413121662,3680.64,"NA","NA","NA","NA","NA","NA","NA","FALSE","Komiskey, Matthew J.:This start time is prior to the storm start, need to change","SW3","WY16","2016-03-31 00:54:00","2016-03-31 12:54:59","2016-03-31 00:54:00","2016-03-31 12:54:59",0.328
80,"ESW3-49b",949,16.8,8.2,0.1,5.99,0.525,2.7,14.19,5.89,245.18650598,4.340498736,2.118576764,0.025836302,1.5475944898,0.1356405855,0.697580154,3.6661712538,1.5217581878,4138.56,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-03-31 12:54:59","2016-04-01 06:15:00","2016-03-31 12:54:59","2016-04-01 06:15:00",0.4864
85,"ESW3-50",1330,29.2,10.1,1.54,15.2,0.374,3.5,25.3,13.66,39.455647,0.86624428,0.29962559,0.045685486,0.45092168,0.0110950466,0.10383065,0.75054727,0.405236194,475.2,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-06-01 04:30:59","2016-06-01 08:44:59","2016-06-01 04:30:59","2016-06-01 08:44:59",0.1081
86,"ESW3-51",3750,35.2,26.6,1.21,25.2,0.422,8,51.8,23.99,451.056525,4.233917248,3.199494284,0.1455409054,3.031099848,0.05075889428,0.96225392,6.230594132,2.8855589426,1926.72,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-06-10 20:32:00","2016-06-11 00:29:59","2016-06-10 20:32:00","2016-06-11 00:29:59",0.8376
88,"ESW3-52",1970,11.7,7,0.35,13.6,0.307,5.3,20.6,13.25,63.754716,0.37864476,0.2265396,0.01132698,0.44013408,0.0099353796,0.17152284,0.66667368,0.4288071,518.4,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-06-15 03:08:00","2016-06-15 06:45:00","2016-06-15 03:08:00","2016-06-15 06:45:00",0.1541
89,"ESW3-53",6730,5.7,4.9,0.31,27.9,0.562,10,32.8,27.59,9997.0954596,8.467079364,7.278717348,0.4604902812,41.444125308,0.83482431624,14.8545252,48.722842656,40.9836350268,23794.56,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-06-15 18:42:00","2016-06-15 21:15:00","2016-06-15 18:42:00","2016-06-15 21:15:00",12.32
90,"ESW3-54",4400,6.8,16,6.84,33,0.46,7.5,49,26.16,999.147512,1.544137064,3.63326368,1.5532202232,7.49360634,0.1044563308,1.70309235,11.12687002,5.9403861168,3637.44,"NA","NA","NA","NA","NA","NA","NA","FALSE","NA","SW3","WY16","2016-06-26 03:51:59","2016-06-26 08:15:00","2016-06-26 03:51:59","2016-06-26 08:15:00",1.262
